State,Gender,Handed,Height_cm,Armspan_cm,Travel_to_School,Travel_time_to_School,Score_in_memory_game,Importance_recycling_rubbish,Left_Footlength_cm,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Favorite_Music,Superpower,Preferred_Status
IN,Female,Right-Handed,170.2,157.5,Car,5,80,1000,23,70,75,Index finger,April,Summer,No,No,Water,English,6,12,4,Text messaging,100,100,20,1,1,5,15,0,10,20,20,0,0,5,A lot,Country,Telepathy,Happy
IN,Female,Right-Handed,99,100,Bus,10,54,900,18,60,70,Ring finger,December,Summer,Yes,No,Water,History,8,6,5,"Myspace, Facebook, other social networking sites, or blog",200,200,6,0,5,3,0.5,0,2,48,48,1,17,1,Some,Pop,Telepathy,Happy
IN,Male,Right-Handed,177,180,Car,12,92,800,24,1,1,Ring finger,December,Summer,Yes,No,Milk,Physical education,6,8,4,Text messaging,100,100,5,10,2,10,6,0,1,15,0,5,22,3,Some,Rap/Hip hop,Invisibility,Happy
IN,Male,Right-Handed,180,181,Car,7,57,861,180,300,350,Index finger,January,Fall,No,No,Water,History,7,6,4,Text messaging,200,400,10,15,15,15,15,10,10,20,10,10,25,10,Some,Other,Telepathy,Happy
IN,Male,Ambidextrous,161,172,Walk,3,37,64,22,80,80,Same length,June,Winter,No,No,Soft drink (caffeinated),Music,7,9,5,In person,0,0,3,1,0,2,0,72,0,0.5,72,10,0,5,Some,Techno/Electronic,Invisibility,Healthy
IN,Female,Right-Handed,164,64,Car,10,45,600,24,8,8,Same length,July,Summer,No,No,Water,Art,6,9,5,Cell phone,70,80,6,7,3,4,1,0,1,4,2,2,12,4,Some,Pop,Telepathy,Happy
IN,Female,Right-Handed,156,156,Car,10,43,1000,22,76,76,Same length,July,Spring,Yes,No,Water,Art,7,5,4,Text messaging,500,300,10,5,4,3,25,0,10,5,3,5,0,5,Some,Punk rock,Fly,Happy
WA,Female,Right-Handed,160,159,Car,7,33,450,22,80,78,Index finger,September,Fall,Yes,No,Water,Art,6.5,9,6,In person,4,5,2,0,6,10,0,14,7,2,21,14,0,6,Some,Other,Fly,Happy
IN,Male,Left-Handed,182,183,Car,10,38,500,26,80,70,Index finger,September,Winter,No,No,Juice,Science,4,9,3,In person,0,0,20,0,10,20,6,30,10,0,40,0,4,1,Very little,Rap/Hip hop,Freeze time,Rich
IN,Female,Right-Handed,180.3,243.8,Car,20,50,3,30.5,6,6,Same length,September,Fall,Yes,No,Juice,Other,9,11,2,Text messaging,30,40,35,30,20,25,5,0,70,75,60,30,10,20,Some,Rap/Hip hop,Invisibility,Happy
IN,Female,Left-Handed,155,157,Car,20,49,600,25,70,60,Index finger,July,Fall,Yes,No,Water,History,8,10,3,Text messaging,40,35,6,1,5,5,0,0,5,2,10,2,6,2,A lot,Other,Telepathy,Happy
IN,Male,Right-Handed,180,182,Car,10,40,700,27,80,85,Ring finger,July,Fall,Yes,No,Water,Art,7,5,5,Text messaging,100,100,30,1,10,15,15,8,40,60,100,30,26,9,Very little,Rap/Hip hop,Fly,Happy
IN,Female,Right-Handed,154,155.2,Car,6,49,561,22,4,4.5,Same length,October,Fall,No,No,Soft drink (non-caffeinated),Social studies,6,8,2,Text messaging,150,250,15,40,15,10,0,0,40,40,30,8,30,10,Some,Other,Telepathy,Happy
IN,Female,Right-Handed,170,168,Car,5,45,898,21,63.5,63.2,Index finger,August,Summer,No,No,Water,Art,8,10,4,Text messaging,10,10,5,5,10,10,10,5,50,30,60,5,15,20,A lot,Pop,Invisibility,Happy
IN,Female,Left-Handed,157.5,152.4,Car,10,64,400,21.6,89,77,Index finger,November,Summer,No,No,Water,Science,6,9,3,In person,150,9,7,2,18,20,20,0,5,5,12,7,7,2,A lot,Pop,Fly,Happy
IN,Male,Right-Handed,173,172,Car,13,71,236,29,60,60,Same length,February,Spring,No,No,Milk,Social studies,7,9,4,In person,8,11,10,0,2,12,12,5,22,10,11,30,0,1,Very little,Rap/Hip hop,Freeze time,Happy
IN,Female,Right-Handed,162.3,155.2,Car,15,75,900,26,70,76,Index finger,July,Summer,No,No,Water,History,6.5,9.5,3,Text messaging,50,50,30,2,5,5,10,2,15,5,5,5,20,5,A lot,Country,Telepathy,Famous
IN,Male,Right-Handed,164,162,Car,10,63,1000,17,60,62,Ring finger,November,Fall,Yes,No,Coffee,Music,6,8,3,In person,100,100,7,7,7,7,7,7,7,7,7,7,7,7,Some,Jazz,Freeze time,Happy
IN,Male,Right-Handed,179.8,180,Car,10,34,300,27,65.7,63.5,Index finger,August,Summer,Yes,No,Water,Other,4,5,4,Text messaging,30,40,2,0,2,1,0,0,1,3,1,0,42,2,None,Other,Freeze time,Rich
IN,Female,Right-Handed,159,154,Car,6,37,500,23.5,8,75,Index finger,January,Fall,Yes,No,Water,Computers and technology,6,4,3,Cell phone,30,30,21,1,7,2,7,0,5,8,6,0,40,2,A lot,Rap/Hip hop,Invisibility,Rich
IN,Male,Right-Handed,176.8,106.7,Car,6,47,500,104.5,89,78.74,Index finger,July,Summer,No,No,Water,Art,7,8,5,Cell phone,8,8,10,1,0,10,2,70,2,1,80,5,0,3,Some,Other,Freeze time,Happy
IN,Female,Right-Handed,173.9,168,Car,15,43,636,23,80,75,Index finger,October,Spring,Yes,No,Water,History,7,10,4,Text messaging,100,100,6,0,8,14,0,0,48,72,48,24,3,4,Some,Other,Invisibility,Happy
IN,Female,Right-Handed,167.4,169,Car,10,42,1000,23.5,5,5.5,Ring finger,August,Fall,No,Yes,Soft drink (caffeinated),Science,6,10,4,Text messaging,100,100,8,0,9,6,0,0,10,20,20,30,30,5,A lot,Punk rock,Fly,Happy
IN,Male,Right-Handed,178,178,Car,5,48,1000,24,85,85,Same length,March,Summer,Yes,No,Water,Music,6,10,4,Text messaging,10,10,10,0,2,10,0,5,0,10,25,0,15,5,None,Rock and roll,Super strength,Famous
IN,Female,Right-Handed,162.5,149.8,Car,5,41,1000,21.59,6.77,6.77,Same length,July,Spring,No,No,Juice,Languages,7,9,7,Cell phone,6,9,4,3,10,11,1,1,1,3,30,1,18,10,A lot,Rock and roll,Fly,Happy
IN,Female,Right-Handed,168,168,Car,15,34,800,24,73,76,Ring finger,May,Fall,No,No,Water,Music,7,10,4,Text messaging,50,50,6,1,10,5,3,2,4,6,15,15,3,3,A lot,Other,Telepathy,Happy
IN,Female,Right-Handed,164,152,Car,15,50,450,22.5,63.5,63.5,Same length,November,Fall,No,No,Water,Science,5,10,3,"Myspace, Facebook, other social networking sites, or blog",15,5,3,3,5,4,3,5,3,3,5,2,0,3,Some,Pop,Freeze time,Rich
WA,Male,Right-Handed,176,180.5,Walk,15,29,765,24,80,73,Index finger,June,Summer,No,No,Water,Computers and technology,7,9,4,In person,20,30,2,2,1,5,0,2,0,3,40,0,0,1,None,Rock and roll,Freeze time,Healthy
IN,Male,Right-Handed,164.6,161.1,Bus,15,39,210,25,80,88,Ring finger,February,Summer,No,No,Water,Mathematics and statistics,6,10,5,Text messaging,25,29,2,2,6,1,0,6,2,3,40,0,0,1,A lot,Pop,Freeze time,Famous
IN,Male,Right-Handed,173,175,Car,12,37,791,26,81,90,Ring finger,February,Summer,No,No,Water,Mathematics and statistics,7,9,5,Text messaging,15,20,5,0,5,6,3,3,2,3,6,2,0,1,Very little,Classical,Telepathy,Happy
IN,Male,Right-Handed,170,131,Car,7,27,600,26,92,91,Index finger,July,Fall,No,No,Soft drink (caffeinated),Mathematics and statistics,6,10,5,Text messaging,50,60,30,0,5,2,5,30,2,5,30,0,20,1,A lot,Rock and roll,Freeze time,Happy
IN,Female,Right-Handed,167,163,Car,3,51,900,24,70,70,Same length,May,Fall,No,No,Juice,Art,7,8,2,Text messaging,50,50,20,6,20,30,20,0,15,10,35,3,8,5,A lot,Country,Freeze time,Happy
IN,Female,Right-Handed,179,157,Car,12,41,588,26,91,89,Index finger,December,Fall,No,No,Water,Art,5,10,4,"Myspace, Facebook, other social networking sites, or blog",0,0,0,0,15,68,3,20,5,1,24,4,0,4,Some,Country,Freeze time,Happy
IN,Female,Right-Handed,159,149,Car,9,34,20,22,75,70,Index finger,October,Fall,Yes,No,Water,Languages,6,10,6,In person,1000,1000,15,24,10,10,5,0,30,80,60,8,8,2,A lot,Pop,Telepathy,Happy
IN,Female,Right-Handed,170,170,Bus,7,51,500,23,8,8,Index finger,April,Fall,No,No,Water,Music,6,10,7,Cell phone,50,50,14,2,2,5,10,0,5,15,15,5,24,7,A lot,Other,Invisibility,Happy
IN,Female,Right-Handed,165.1,184,Car,5,41,10,23.5,55,59,Index finger,July,Summer,Yes,Yes,Water,Art,7,10,6,Text messaging,10,15,10,0,12,10,10,0,15,5,5,0,2,4,A lot,Other,Fly,Healthy
WA,Male,Right-Handed,180,185,Car,15,38,930,28,110,90,Index finger,May,Winter,Yes,No,Water,Mathematics and statistics,7,9,4,Text messaging,37,36,4,1,4,3,10,2,1,2,3,1,0,5,Very little,Rap/Hip hop,Super strength,Happy
IN,Male,Right-Handed,183,180,Car,10,45,200,28,80,80,Same length,April,Summer,Yes,No,Water,Mathematics and statistics,6.5,9,4,"Myspace, Facebook, other social networking sites, or blog",10,14,48,0.5,3,1,8,1,4,2,4,5,20,2,Some,Rap/Hip hop,Super strength,Happy
IN,Male,Right-Handed,164,167,Car,15,51,920,25,10,10,Same length,March,Summer,No,No,Water,Physical education,7,10,3,In person,400,400,80,40,26,28,65,10,100,100,100,20,40,100,A lot,Rap/Hip hop,Super strength,Happy
IN,Female,Right-Handed,153,139.7,Car,15,8,50,18,30,60,Ring finger,February,Summer,No,No,Water,Art,7,9,6,Cell phone,16,8,8,10,2,1,0,0,24,24,25,9,15,0,Some,Pop,Telepathy,Rich
IN,Female,Right-Handed,160,158,Car,8,37,1000,24,61,74,Ring finger,April,Spring,Yes,No,Tea,Science,7,12,2,Internet chat or instant messaging,4,4,5,0,15,2,0,0,1,2,4,4,0,2,A lot,Pop,Freeze time,Happy
WA,Male,Right-Handed,165.1,168,Bus,20,64,100,28,82,77,Index finger,May,Summer,No,No,Water,Music,6,11,4,Text messaging,3,3,0,1,10,10,5,5,10,2,10,0,0,4,Some,Rap/Hip hop,Telepathy,Rich
IN,Female,Right-Handed,160,147,Car,10,46,717,22,62,63,Ring finger,August,Fall,No,No,Water,Computers and technology,4,7,6,Internet chat or instant messaging,300,200,35,3,15,72,0,3,120,140,140,3,25,19,A lot,Punk rock,Invisibility,Happy
IN,Female,Left-Handed,157,157,Car,5,28,500,23,80,70,Index finger,November,Fall,No,No,Energy drink,Mathematics and statistics,7,9,5,In person,15,20,10,5,14,10,5,0,2,5,2,2,20,0,A lot,Rap/Hip hop,Freeze time,Happy
IN,Female,Right-Handed,165.5,170.2,Car,16,55,700,24.76,63.5,69.8,Ring finger,February,Summer,Yes,No,Water,Physical education,5,6,4,Text messaging,600,1500,25,1,4,2,30,0,6,10,7,4,0,3,A lot,Rap/Hip hop,Freeze time,Happy
